2022-08-29 16:05:46 status half-installed sysvinit-utils:arm64 2.96-2.1ubuntu1
2022-08-29 16:05:46 status unpacked sysvinit-utils:arm64 2.96-2.1ubuntu1
2022-08-29 16:05:46 install tar:arm64 <none> 1.30+dfsg-7
2022-08-29 16:05:46 status half-installed tar:arm64 1.30+dfsg-7
2022-08-29 16:05:47 status unpacked tar:arm64 1.30+dfsg-7
2022-08-29 16:05:47 install util-linux:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:47 status half-installed util-linux:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:47 status unpacked util-linux:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:47 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu1
2022-08-29 16:05:47 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2022-08-29 16:05:47 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2022-08-29 16:05:47 startup packages configure
2022-08-29 16:05:47 configure lsb-base:all 11.1.0ubuntu2 <none>
2022-08-29 16:05:47 status unpacked lsb-base:all 11.1.0ubuntu2
2022-08-29 16:05:47 status half-configured lsb-base:all 11.1.0ubuntu2
2022-08-29 16:05:47 status installed lsb-base:all 11.1.0ubuntu2
2022-08-29 16:05:47 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2022-08-29 16:05:47 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-08-29 16:05:47 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2022-08-29 16:05:47 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-08-29 16:05:47 configure libsemanage-common:all 3.0-1build2 <none>
2022-08-29 16:05:47 status unpacked libsemanage-common:all 3.0-1build2
2022-08-29 16:05:47 status half-configured libsemanage-common:all 3.0-1build2
2022-08-29 16:05:47 status installed libsemanage-common:all 3.0-1build2
2022-08-29 16:05:47 configure gcc-10-base:arm64 10-20200411-0ubuntu1 <none>
2022-08-29 16:05:47 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 status half-configured gcc-10-base:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 status installed gcc-10-base:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 configure ncurses-base:all 6.2-0ubuntu2 <none>
2022-08-29 16:05:47 status unpacked ncurses-base:all 6.2-0ubuntu2
2022-08-29 16:05:47 status half-configured ncurses-base:all 6.2-0ubuntu2
2022-08-29 16:05:47 status installed ncurses-base:all 6.2-0ubuntu2
2022-08-29 16:05:47 configure sensible-utils:all 0.0.12+nmu1 <none>
2022-08-29 16:05:47 status unpacked sensible-utils:all 0.0.12+nmu1
2022-08-29 16:05:47 status half-configured sensible-utils:all 0.0.12+nmu1
2022-08-29 16:05:47 status installed sensible-utils:all 0.0.12+nmu1
2022-08-29 16:05:47 configure libcrypt1:arm64 1:4.4.10-10ubuntu4 <none>
2022-08-29 16:05:47 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2022-08-29 16:05:47 status half-configured libcrypt1:arm64 1:4.4.10-10ubuntu4
2022-08-29 16:05:47 status installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2022-08-29 16:05:47 configure libgcc-s1:arm64 10-20200411-0ubuntu1 <none>
2022-08-29 16:05:47 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 status half-configured libgcc-s1:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 status installed libgcc-s1:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:47 configure libc6:arm64 2.31-0ubuntu9 <none>
2022-08-29 16:05:47 status unpacked libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:47 status half-configured libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:47 status installed libc6:arm64 2.31-0ubuntu9
2022-08-29 16:05:47 configure libudev1:arm64 245.4-4ubuntu3 <none>
2022-08-29 16:05:47 status unpacked libudev1:arm64 245.4-4ubuntu3
2022-08-29 16:05:47 status half-configured libudev1:arm64 245.4-4ubuntu3
2022-08-29 16:05:47 status installed libudev1:arm64 245.4-4ubuntu3
2022-08-29 16:05:47 configure libsepol1:arm64 3.0-1 <none>
2022-08-29 16:05:47 status unpacked libsepol1:arm64 3.0-1
2022-08-29 16:05:47 status half-configured libsepol1:arm64 3.0-1
2022-08-29 16:05:47 status installed libsepol1:arm64 3.0-1
2022-08-29 16:05:47 configure libattr1:arm64 1:2.4.48-5 <none>
2022-08-29 16:05:47 status unpacked libattr1:arm64 1:2.4.48-5
2022-08-29 16:05:47 status half-configured libattr1:arm64 1:2.4.48-5
2022-08-29 16:05:47 status installed libattr1:arm64 1:2.4.48-5
2022-08-29 16:05:47 configure debianutils:arm64 4.9.1 <none>
2022-08-29 16:05:47 status unpacked debianutils:arm64 4.9.1
2022-08-29 16:05:47 status half-configured debianutils:arm64 4.9.1
2022-08-29 16:05:47 status installed debianutils:arm64 4.9.1
2022-08-29 16:05:47 configure mawk:arm64 1.3.4.20200120-2 <none>
2022-08-29 16:05:47 status unpacked mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:47 status half-configured mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:47 status installed mawk:arm64 1.3.4.20200120-2
2022-08-29 16:05:47 configure libdebconfclient0:arm64 0.251ubuntu1 <none>
2022-08-29 16:05:47 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2022-08-29 16:05:47 status half-configured libdebconfclient0:arm64 0.251ubuntu1
2022-08-29 16:05:47 status installed libdebconfclient0:arm64 0.251ubuntu1
2022-08-29 16:05:47 configure base-files:arm64 11ubuntu5 <none>
2022-08-29 16:05:47 status unpacked base-files:arm64 11ubuntu5
2022-08-29 16:05:47 status half-configured base-files:arm64 11ubuntu5
2022-08-29 16:05:47 status installed base-files:arm64 11ubuntu5
2022-08-29 16:05:47 configure libbz2-1.0:arm64 1.0.8-2 <none>
2022-08-29 16:05:47 status unpacked libbz2-1.0:arm64 1.0.8-2
2022-08-29 16:05:47 status half-configured libbz2-1.0:arm64 1.0.8-2
2022-08-29 16:05:47 status installed libbz2-1.0:arm64 1.0.8-2
2022-08-29 16:05:47 configure base-passwd:arm64 3.5.47 <none>
2022-08-29 16:05:47 status unpacked base-passwd:arm64 3.5.47
2022-08-29 16:05:47 status half-configured base-passwd:arm64 3.5.47
2022-08-29 16:05:48 status installed base-passwd:arm64 3.5.47
2022-08-29 16:05:48 configure libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2 <none>
2022-08-29 16:05:48 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:48 status half-configured libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:48 status installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:48 configure libblkid1:arm64 2.34-0.1ubuntu9 <none>
